Name,ratings,location,description,open_hours,Opened,Closed,phone_number,Picture
Coffee Cartel,4.5,"Jl. Lb. Sari No.8, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361","Kafe kosmopolitan dengan suasana santai menyajikan kopi premium & camilan lezat.
·
Makan di tempat
·
Bawa pulang
·
Antar tanpa bertemu",07.30–18.00,07.30,18.00,0812-3707-4458,https://lh5.googleusercontent.com/p/AF1QipN7pmTgaAbcel4NfrL4p6nCQ5xSFmePjNUSLaX0=w408-h544-k-no
Watercress Cafe,4.6,"Jl. Batu Belig No.21 A, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361","Restoran trendi yang disukai wisatawan asing dan domestik ini menyediakan menu Barat dan Asia, plus Wi-Fi.
·
Makan di tempat
·
Bawa pulang
·
Antar tanpa bertemu",07.00–22.00,07.00,22.00,0812-3817-2422,https://lh5.googleusercontent.com/p/AF1QipO9O0T5KDrmaYNsCalW2lt5kWd6HJOv5WPL68LJ=w408-h408-k-no
Cinta cafe,4.5,"Jl. Pantai Berawa No.69, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361","Relaxed open-air cafe featuring a menu of comfort food, plus scenic views of rice fields.",08.00–23.00,08.00,23.00,0851-0280-8031,https://lh5.googleusercontent.com/p/AF1QipMW3ehEpj1CCddbxZa34qpoRorpVOFkAMGc0Zhd=w408-h272-k-no
Shelter Cafe Seminyak,4.4,"Jl. Drupadi 1 No.2b, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Pesan antar,08.00–16.00,08.00,16.00,0821-4706-4407,https://lh5.googleusercontent.com/p/AF1QipPKhBgy4wIe8jSuqvethtStTE7G3sK5doP85LSv=w408-h306-k-no
Unicorn Cafe Bali by Brie,4.3,"Canggu, Lapangan sempol, Jl. Sempol, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80361",· Makan di tempat,08.00–17.00,08.00,17.00,0813-3979-4619,https://lh5.googleusercontent.com/p/AF1QipObLjaDY70dKlpOKJQGVe7kGIvSiQViju7SxRCT=w408-h306-k-no
Dear Lucy Coffee,4.7,"Jl. Dewi Sri IX No.14, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,10.00–18.00,10.00,18.00,0877-3734-2152,https://lh5.googleusercontent.com/p/AF1QipP4bhGW4YIzmra_d6mpCX1KOC4i8HpWw5dnJT53=s451-k-no
Secret Cafe,4.6,"Jl. Siligita, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang,08.00–16.00,08.00,16.00,0812-3613-3809,https://lh5.googleusercontent.com/p/AF1QipN0g5cQ0PW0S0mNX39vtSIiWt3yGJehvf0alr71=w426-h240-k-no
Matcha Cafe Bali,4.5,"Jl. Pantai Berawa No.99, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",· Makan di tempat · Bawa pulang · Antar tanpa bertemu,08.00–17.00,08.00,17.00,0812-3853-6138,https://lh5.googleusercontent.com/p/AF1QipNzgsQ0S4sChJriSoX0rLpCwGWa0m41q3Edvsed=w408-h270-k-no
Sisterfields Cafe,4.5,"Jl. Kayu Cendana No.7, Seminyak, Bali, Kabupaten Badung, Bali 80361","Kafe modern dengan kursi di dalam & luar ruangan yang menawarkan brunch khas Australia, serta koktail.
·
Makan di tempat
·
Bawa pulang
·
Pesan antar",07.00–21.00,07.00,21.00,0811-3860-507,https://lh5.googleusercontent.com/p/AF1QipOPP1Z6h0Cwis5D982x0EX-gCmjC_rCuT_k_eFD=w408-h272-k-no
ANIMA Bali Cafe & Lounge,4.9,"Jl. Dewi Sri No.101, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",· Makan di tempat · Ambil di tepi jalan · Antar tanpa bertemu,09.00–23.30,09.00,23.30,0812-3839-3787,https://lh5.googleusercontent.com/p/AF1QipO0gEpkZ7m8a9zysFVpx3TndmWNF4aW-kJCILEq=w408-h906-k-no
